id;produto_fk;cultura;cultura_norm;praga_nome_cientifico;praga_cientifico_norm;praga_nome_comum;praga_comum_norm;dose_min;dose_max;dose_unidade;volume_calda_min;volume_calda_max;volume_calda_unidade;num_max_aplicacoes;intervalo_aplicacao;carencia_dias;carencia_texto;epoca_aplicacao;fonte_pagina;fonte_trecho;status;volume_calda_outros;marca_comercial
24995;10420;Soja;soja;Richardia brasiliensis;richardia brasiliensis;Poaia-branca;poaia-branca;0.5;0.7;L/ha;;;;1;;84;;"Aplicação Terrestre: deve ser aplicado em uma única vez sobre a cultura da soja e das plantas infestantes quando a cultura estiver do 3º ao 4º trifólio e as plantas infestantes de 2 a 4 folhas, utilizando de 0,5 a 0,7 L/ha; quando as plantas infestantes estiverem de 4 a 6 folhas utilizar a dose de 0,7 L/ha. Aplicação Aérea: mesmas doses.";3;SOJA | Poaia-branca (Richardia brasiliensis) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;"Terrestre: 100 a 300 L/ha; Aérea: 30 a 50 L/ha";Lactofem 240 EC Agrilean
24986;10420;Soja;soja;Commelina benghalensis;commelina benghalensis;Trapoeraba;trapoeraba;0.5;0.7;L/ha;;;;1;;84;;"Aplicação Terrestre: deve ser aplicado em uma única vez sobre a cultura da soja e das plantas infestantes quando a cultura estiver do 3º ao 4º trifólio e as plantas infestantes de 2 a 4 folhas, utilizando de 0,5 a 0,7 L/ha; quando as plantas infestantes estiverem de 4 a 6 folhas utilizar a dose de 0,7 L/ha. Aplicação Aérea: mesmas doses.";3;SOJA | Trapoeraba (Commelina benghalensis) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;"Terrestre: 100 a 300 L/ha; Aérea: 30 a 50 L/ha";Lactofem 240 EC Agrilean
25004;1098;Algodão;algodao;Rotylenchulus reniformis;rotylenchulus reniformis;Nematoide reniforme;nematoide reniforme;20.0;27.0;kg/ha;;;;;;;Intervalo de segurança não determinado por referir-se a tratamento de solo durante o plantio.;Aplicar no sulco de plantio com auxílio de granuladeira.;3;Nematoide reniforme Rotylenchulus reniformis | 20 a 27 kg/ha | 3,0 a 4,0 kg/ha;validado;;Counter 150 G
25003;1098;Algodão;algodao;Scaptocoris castanea;scaptocoris castanea;Percevejo-castanho;percevejo-castanho;13.0;20.0;kg/ha;;;;;;;Intervalo de segurança não determinado por referir-se a tratamento de solo durante o plantio.;Aplicar no sulco de plantio com auxílio de granuladeira.;3;Percevejo-castanho Scaptocoris castanea | 13 a 20 kg/ha | 1,95 a 3,0 kg/ha;validado;;Counter 150 G
25002;1098;Algodão;algodao;Aphis gossypii;aphis gossypii;Pulgão-das-inflorescências;pulgao-das-inflorescencias;;;;;;;;;;Intervalo de segurança não determinado por referir-se a tratamento de solo durante o plantio.;;3;Pulgão-das-inflorescências Aphis gossypii | (dose não informada na tabela);manual_review;;Counter 150 G
25001;1098;Algodão;algodao;Frankliniella schultzei;frankliniella schultzei;Tripes;tripes;13.0;13.0;kg/ha;;;;;;;Intervalo de segurança não determinado por referir-se a tratamento de solo durante o plantio.;Aplicar no sulco de plantio com auxílio de granuladeira.;3;Algodão | Tripes Frankliniella schultzei | 13 kg/ha | 1,95 kg/ha;validado;;Counter 150 G
25000;1098;Amendoim;amendoim;Enneothrips flavens;enneothrips flavens;Tripes-do-bronzeamento;tripes-do-bronzeamento;13.0;13.0;kg/ha;;;;;;;Intervalo de segurança não determinado por referir-se a tratamento de solo durante o plantio.;Aplicar no sulco de plantio com auxílio de granuladeira acoplada a semeadeira/adubadeira.;3;Amendoim | Tripes-do-bronzeamento Enneothrips flavens | 13 kg/ha | 1,95 kg/ha;validado;;Counter 150 G
25005;1098;Banana;banana;Cosmopolites sordidus;cosmopolites sordidus;Moleque-da-bananeira ou Broca-do-rizoma;moleque-da-bananeira ou broca-do-rizoma;13.0;13.0;g/cova;;;;;a cada 4 meses;3;;Bananal em formação: aplicar na cova, com auxílio de matraca, junto à muda. Repetir a cada 4 meses.;3;Banana | Moleque-da-bananeira ou Broca-do-rizoma Cosmopolites sordidus | 13 g/cova | 1,95 g/cova;manual_review;;Counter 150 G
25006;1098;Banana;banana;Cosmopolites sordidus;cosmopolites sordidus;Moleque-da-bananeira ou Broca-do-rizoma;moleque-da-bananeira ou broca-do-rizoma;20.0;20.0;g/cova;;;;3;;3;;Bananal em produção: aplicar 3 vezes ao ano, distribuindo com matraca em torno da planta filha, 1ª aplicação logo após o desbaste.;3;Banana | ... | 20 g/cova | 3,0 g/cova | Bananal em produção: Aplicar 3 vezes ao ano.;manual_review;;Counter 150 G
25007;1098;Banana;banana;Cosmopolites sordidus;cosmopolites sordidus;Moleque-da-bananeira ou Broca-do-rizoma;moleque-da-bananeira ou broca-do-rizoma;2.0;2.0;g/isca;;;;;a cada 30 dias;3;;Preparar iscas atrativas tipo queijo, distribuindo no mínimo 60 iscas/ha, no início da infestação. Repetir a cada 30 dias.;3;Banana | ... | 2,0 g/isca | 0,3 g/cova | Preparar iscas atrativas tipo queijo, no mínimo 60 iscas/ha.;manual_review;;Counter 150 G
25008;1098;Banana;banana;Radopholus similis;radopholus similis;Nematoide-carvenícola;nematoide-carvenicola;20.0;20.0;g/cova;;;;3;;3;;Aplicar 3 vezes ao ano, distribuindo o produto no solo, numa faixa de 30 a 50 cm ao redor das plantas filhas com auxílio de matraca.;3;Nematoide-carvenícola Radopholus similis | 20 g/cova | 3,0 g/cova;manual_review;;Counter 150 G
25016;1098;Café;cafe;Leucoptera coffeella;leucoptera coffeella;Bicho-mineiro-do-café;bicho-mineiro-do-cafe;;;;;;;;;90;;Controle indireto: após o 2º ano de aplicação (controle de cigarra e nematoides), ocorre recuperação do sistema radicular que dilui a infestação do bicho-mineiro.;3;Bicho-mineiro-do-café(1) Leucoptera coffeella | (nota 1: controle indireto, sem dose própria);manual_review;;Counter 150 G
25013;1098;Café;cafe;Quesada gigas;quesada gigas;Cigarra-do-cafeeiro;cigarra-do-cafeeiro;10.0;13.0;g/cova;;;;;;90;;Aplicar na estação das águas a uma profundidade de 5 a 10 cm com matracas ou granuladeiras acopladas ao trator, em ambos os lados da linha de plantio.;3;Café | Cigarra-do-cafeeiro Quesada gigas | 10 a 13 g/cova | 1,5 a 2,0 g/cova;manual_review;;Counter 150 G
25014;1098;Café;cafe;Meloidogyne exigua;meloidogyne exigua;Nematoide-das-galhas;nematoide-das-galhas;13.0;20.0;g/cova;;;;;;90;;Aplicar na estação das águas a uma profundidade de 5 a 10 cm com matracas ou granuladeiras acopladas ao trator, em ambos os lados da linha de plantio.;3;Nematoide-das-galhas Meloidogyne exigua Meloidogyne incognita | 13 a 20 g/cova | 1,95 a 3,0 g/cova;manual_review;;Counter 150 G
25015;1098;Café;cafe;Meloidogyne incognita;meloidogyne incognita;Nematoide-das-galhas;nematoide-das-galhas;13.0;20.0;g/cova;;;;;;90;;Aplicar na estação das águas a uma profundidade de 5 a 10 cm com matracas ou granuladeiras acopladas ao trator, em ambos os lados da linha de plantio.;3;Nematoide-das-galhas Meloidogyne exigua Meloidogyne incognita | 13 a 20 g/cova | 1,95 a 3,0 g/cova;manual_review;;Counter 150 G
25012;1098;Cana-de-açúcar;cana-de-acucar;Heterotermes tenuis;heterotermes tenuis;Cupins;cupins;16.0;20.0;kg/ha;;;;;;;Intervalo de segurança não determinado por referir-se a tratamento de solo durante o plantio.;Aplicar no sulco de plantio com auxílio de granuladeira.;3;Cupins Heterotermes tenuis | 16 a 20 kg/ha | 2,5 a 3,0 kg/ha;validado;;Counter 150 G
25009;1098;Cana-de-açúcar;cana-de-acucar;Meloidogyne javanica;meloidogyne javanica;Nematoide-das-galhas;nematoide-das-galhas;20.0;20.0;kg/ha;;;;;;;Intervalo de segurança não determinado por referir-se a tratamento de solo durante o plantio.;Aplicar no sulco de plantio com auxílio de granuladeira.;3;Cana-de-açúcar | Nematoide-das-galhas Meloidogyne javanica Meloidogyne incognita | 20 kg/ha | 3 kg/ha;validado;;Counter 150 G
25010;1098;Cana-de-açúcar;cana-de-acucar;Meloidogyne incognita;meloidogyne incognita;Nematoide-das-galhas;nematoide-das-galhas;20.0;20.0;kg/ha;;;;;;;Intervalo de segurança não determinado por referir-se a tratamento de solo durante o plantio.;Aplicar no sulco de plantio com auxílio de granuladeira.;3;Cana-de-açúcar | Nematoide-das-galhas Meloidogyne javanica Meloidogyne incognita | 20 kg/ha | 3 kg/ha;validado;;Counter 150 G
25011;1098;Cana-de-açúcar;cana-de-acucar;Pratylenchus zeae;pratylenchus zeae;Nematoide-das-lesões;nematoide-das-lesoes;;;;;;;;;;Intervalo de segurança não determinado por referir-se a tratamento de solo durante o plantio.;;3;Nematoide-das-lesões Pratylenchus zeae | (dose não informada na tabela);manual_review;;Counter 150 G
25020;1098;Feijão;feijao;Empoasca kraemeri;empoasca kraemeri;Cigarrinha-verde;cigarrinha-verde;;;;;;;;;;Intervalo de segurança não determinado por referir-se a tratamento de solo durante o plantio.;;4;Cigarrinha-verde Empoasca kraemeri |  |  | (dose não informada na tabela);manual_review;;Counter 150 G
25017;1098;Feijão;feijao;Bemisia tabaci raça B;bemisia tabaci raca b;Mosca-branca;mosca-branca;10.0;10.0;kg/ha;;;;;;;Intervalo de segurança não determinado por referir-se a tratamento de solo durante o plantio.;Aplicar no sulco de plantio, com auxílio de granuladeira acoplada à semeadeira/adubadeira, cobrindo com terra a seguir.;3;Feijão | Mosca-branca Bemisia tabaci raça B | 10 kg/ha | 1,5 kg/ha;validado;;Counter 150 G
25018;1098;Feijão;feijao;Bemisia tabaci;bemisia tabaci;Mosca-branca;mosca-branca;13.0;13.0;kg/ha;;;;;;;Intervalo de segurança não determinado por referir-se a tratamento de solo durante o plantio.;Aplicar no sulco de plantio, com auxílio de granuladeira acoplada à semeadeira/adubadeira, cobrindo com terra a seguir.;3;Mosca-branca | 13 kg/ha | 1,95 kg/ha | Bemisia tabaci ... cobrindo com terra a seguir.;validado;;Counter 150 G
25022;1098;Feijão;feijao;Pratylenchus brachyurus;pratylenchus brachyurus;Nematóide-das-lesões;nematoide-das-lesoes;;;;;;;;;;Intervalo de segurança não determinado por referir-se a tratamento de solo durante o plantio.;;4;Nematóide-das-lesões Pratylenchus brachyurus |  |  | (dose não informada na tabela);manual_review;;Counter 150 G
25019;1098;Feijão;feijao;Thrips tabaci;thrips tabaci;Tripes-do-fumo;tripes-do-fumo;;;;;;;;;;Intervalo de segurança não determinado por referir-se a tratamento de solo durante o plantio.;;4;Tripes-do-fumo Thrips tabaci |  |  | (dose não informada na tabela);manual_review;;Counter 150 G
25021;1098;Feijão;feijao;Diabrotica speciosa;diabrotica speciosa;Vaquinha-verde-amarela;vaquinha-verde-amarela;;;;;;;;;;Intervalo de segurança não determinado por referir-se a tratamento de solo durante o plantio.;;4;Vaquinha-verde-amarela Diabrotica speciosa |  |  | (dose não informada na tabela);manual_review;;Counter 150 G
25028;1098;Milho;milho;Dalbulus maidis;dalbulus maidis;Cigarrinha do milho;cigarrinha do milho;13.0;13.0;kg/ha;;;;;;;Intervalo de segurança não determinado por referir-se a tratamento de solo durante o plantio.;"Dose de 13 kg/ha promove efeito residual de até 15 DAE; após esse período recomenda-se aplicação de outros inseticidas foliares.";4;Cigarrinha do milho(2) Dalbulus maidis | 13 kg/ha | 1,95 kg/ha;validado;;Counter 150 G
25026;1098;Milho;milho;Syntermes molestus;syntermes molestus;Cupim;cupim;;;;;;;;;;Intervalo de segurança não determinado por referir-se a tratamento de solo durante o plantio.;;4;Cupim Syntermes molestus Proconitermes triacifer |  |  | (dose não informada na tabela);manual_review;;Counter 150 G
25027;1098;Milho;milho;Proconitermes triacifer;proconitermes triacifer;Cupim;cupim;;;;;;;;;;Intervalo de segurança não determinado por referir-se a tratamento de solo durante o plantio.;;4;Cupim Syntermes molestus Proconitermes triacifer |  |  | (dose não informada na tabela);manual_review;;Counter 150 G
25023;1098;Milho;milho;Agrotis ipsilon;agrotis ipsilon;Lagarta-rosca;lagarta-rosca;13.0;13.0;kg/ha;;;;;;;Intervalo de segurança não determinado por referir-se a tratamento de solo durante o plantio.;Aplicar no sulco de plantio, com auxílio de granuladeira acoplada à semeadeira/adubadeira, cobrindo com terra a seguir.;4;Milho | Lagarta-rosca Agrotis ipsilon | 13 kg/ha | 1,95 kg/ha;validado;;Counter 150 G
25024;1098;Milho;milho;Diabrotica speciosa;diabrotica speciosa;Larva-alfinete;larva-alfinete;;;;;;;;;;Intervalo de segurança não determinado por referir-se a tratamento de solo durante o plantio.;;4;Larva-alfinete Diabrotica speciosa |  |  | (dose não informada na tabela);manual_review;;Counter 150 G
